,airdopes name,airdopes prize,airdopes offer
0,boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,"<div class=""_30jeq3"">₹1,299</div>",<span>43% off</span>
1,"boAt Airdopes 161 with ASAP Charge, 10mm Drivers and 17...","<div class=""_30jeq3"">₹1,399</div>",<span>56% off</span>
2,"boAt Airdopes 161 with ASAP Charge, 10mm Drivers and 17...","<div class=""_30jeq3"">₹1,299</div>",<span>49% off</span>
3,"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...","<div class=""_30jeq3"">₹1,499</div>",<span>56% off</span>
4,boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,"<div class=""_30jeq3"">₹1,999</div>",<span>56% off</span>
5,"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...","<div class=""_30jeq3"">₹1,499</div>",<span>82% off</span>
6,boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,"<div class=""_30jeq3"">₹1,299</div>",<span>51% off</span>
7,boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,"<div class=""_30jeq3"">₹1,999</div>",<span>56% off</span>
8,"boAt Airdopes 191G with 6mm Dual Drivers, Quad Mics ENx...","<div class=""_30jeq3"">₹899</div>",<span>56% off</span>
9,boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,"<div class=""_30jeq3"">₹1,699</div>",<span>Ad</span>
10,boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,"<div class=""_30jeq3"">₹1,299</div>","<span class=""_1lRcqv"" id=""productRating_LSTACCGDQMAAJAZBZ43666LLF_ACCGDQMAAJAZBZ43_""><div class=""_3LWZlK"">3.9<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div></span>"
11,"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...","<div class=""_30jeq3"">₹1,599</div>","<span class=""_2_R_DZ"">(56,818)</span>"
12,"boAt Airdopes 115 with ENx & Beast Mode, upto 24 Hrs Pl...","<div class=""_30jeq3"">₹1,699</div>",<span>49% off</span>
13,"boAt Airdopes 191G with 6mm Dual Drivers, Quad Mics ENx...","<div class=""_30jeq3"">₹1,999</div>","<span class=""f3A4_V""><label class=""_2iDkf8""><input class=""_30VH1S"" readonly="""" type=""checkbox""/><div class=""_24_Dny""></div></label></span>"
14,boAt Airdopes 381 with upto 34 Hours Playback & ASAP Ch...,"<div class=""_30jeq3"">₹1,999</div>",<span>Add to Compare</span>
15,boAt Airdopes 381 with upto 34 Hours Playback & ASAP Ch...,"<div class=""_30jeq3"">₹799</div>",<span>53% off</span>
16,Tunifi Earbuds M-10 with ASAP Charge Bluetooth Headset,"<div class=""_30jeq3"">₹1,999</div>",<span>46% off</span>
17,boAt Airdopes 381 Sunburn Edition with upto 20 Hours Pl...,"<div class=""_30jeq3"">₹1,599</div>",<span>51% off</span>
18,"boAt Airdopes 115 with ENx & Beast Mode, upto 24 Hrs Pl...","<div class=""_30jeq3"">₹1,399</div>",<span>59% off</span>
19,"boAt Airdopes 100 with 50 Hours Playback, Quad Mics ENx...","<div class=""_30jeq3"">₹1,699</div>",<span>59% off</span>
20,"boAt Airdopes 191G with 6mm Dual Drivers, Quad Mics ENx...","<div class=""_30jeq3"">₹1,999</div>",<span>59% off</span>
21,boAt Airdopes 381 Sunburn Edition with upto 20 Hours Pl...,"<div class=""_30jeq3"">₹1,499</div>",<span>46% off</span>
22,"boAt Airdopes 115 with ENx & Beast Mode, upto 24 Hrs Pl...","<div class=""_30jeq3"">₹899</div>",<span>68% off</span>
23,DIGIBUDS DB-PRO 60 Upto 25 Hours Playback Bluetooth Hea...,"<div class=""_30jeq3"">₹949</div>",<span>59% off</span>
24,NP SERIES Exclusive Edition M10 TWS Bluetooth Earphone ...,"<div class=""_30jeq3"">₹799</div>",<span>49% off</span>
25,Tunifi Earbuds M19 Upto 48 Hours Playback with ASAP Cha...,"<div class=""_30jeq3"">₹899</div>",<span>79% off</span>
26,boAt Airdopes 411ANC with upto 17.5 Hours Playback and ...,"<div class=""_30jeq3"">₹899</div>",<span>80% off</span>
27,Tunifi Earbuds F9 Upto 48 Hours Playback with ASAP Char...,"<div class=""_30jeq3 UMT9wN"">₹799</div>",<span>49% off</span>
28,Tunifi Earbuds F9 TWS Upto 48 Hours Playback with ASAP ...,"<div class=""_30jeq3 UMT9wN"">₹899</div>",<span>84% off</span>
29,DIGIBUDS Earbuds T-2 with ASAP Charge & Power-Bank Blue...,"<div class=""_30jeq3 UMT9wN"">₹949</div>",<span>64% off</span>
30,"boAt Airdopes 172 with 42 Hours Playback, ENx, Beast Mo...","<div class=""_30jeq3 UMT9wN"">₹1,499</div>",<span>46% off</span>
31,Tunifi Earbuds TF-PRO 60 Upto 25 Hours Playback with AS...,"<div class=""_30jeq3 UMT9wN"">₹899</div>",<span>79% off</span>
